date,sales_revenue
2011-01-29,81650.61
2011-01-30,78970.57
2011-01-31,57706.91
2011-02-01,60761.2
2011-02-02,46959.95
2011-02-03,69377.38
2011-02-04,68789.06
2011-02-05,93447.75
2011-02-06,83497.56
2011-02-07,65164.7
2011-02-08,60879.39
2011-02-09,60408.69
2011-02-10,62742.0
2011-02-11,71984.11
2011-02-12,92584.9
2011-02-13,100763.83
2011-02-14,59728.89
2011-02-15,64278.31
2011-02-16,58985.590000000004
2011-02-17,57188.99
2011-02-18,67467.99
2011-02-19,87650.83
2011-02-20,81369.44
2011-02-21,65547.57
2011-02-22,55380.69
2011-02-23,55070.27
2011-02-24,53986.34
2011-02-25,61776.87
2011-02-26,81839.49
2011-02-27,79451.25
2011-02-28,58794.66
2011-03-01,62540.18
2011-03-02,59996.54
2011-03-03,64517.98
2011-03-04,64020.56
2011-03-05,86243.76
2011-03-06,94305.4
2011-03-07,66983.84
2011-03-08,61245.83
2011-03-09,58771.82
2011-03-10,60104.73
2011-03-11,68115.83
2011-03-12,85664.01
2011-03-13,85979.65
2011-03-14,65841.94
2011-03-15,62552.07
2011-03-16,60076.33
2011-03-17,57509.34
2011-03-18,64847.14
2011-03-19,83447.54
2011-03-20,81525.57
2011-03-21,61369.06
2011-03-22,54604.96
2011-03-23,51681.82
2011-03-24,50469.36
2011-03-25,62774.82
2011-03-26,80261.18
2011-03-27,81245.59
2011-03-28,57507.42
2011-03-29,52571.090000000004
2011-03-30,50143.63
2011-03-31,55981.48
2011-04-01,74380.45
2011-04-02,90659.12
2011-04-03,89121.32
2011-04-04,66059.77
2011-04-05,62548.18
2011-04-06,60210.52
2011-04-07,60590.6
2011-04-08,66802.54
2011-04-09,86147.53
2011-04-10,85080.34
2011-04-11,66609.37
2011-04-12,61560.79
2011-04-13,57037.93
2011-04-14,58824.99
2011-04-15,68675.01
2011-04-16,83058.83
2011-04-17,83617.22
2011-04-18,61271.22
2011-04-19,54793.1
2011-04-20,56720.42
2011-04-21,56466.01
2011-04-22,69572.75
2011-04-23,84171.43
2011-04-24,136553.16
2011-04-25,56342.82
2011-04-26,50791.37
2011-04-27,50877.02
2011-04-28,51953.22
2011-04-29,64544.68
2011-04-30,80648.79
2011-05-01,81346.95
2011-05-02,63047.49
2011-05-03,66278.98
2011-05-04,57672.29
2011-05-05,56720.89
2011-05-06,68218.32
2011-05-07,78021.8
2011-05-08,65855.53
2011-05-09,69036.52
2011-05-10,60176.340000000004
2011-05-11,61559.29
2011-05-12,61018.66
2011-05-13,70473.1
2011-05-14,81896.1
2011-05-15,88269.0
2011-05-16,61248.66
2011-05-17,56033.73
2011-05-18,52915.52
2011-05-19,52917.66
2011-05-20,61081.24
2011-05-21,76461.34
2011-05-22,73607.61
2011-05-23,58098.13
2011-05-24,52563.72
2011-05-25,52171.44
2011-05-26,57009.12
2011-05-27,61639.66
2011-05-28,71033.7
2011-05-29,66451.59
2011-05-30,64782.3
2011-05-31,55381.36
2011-06-01,64775.8
2011-06-02,62398.04
2011-06-03,73696.53
2011-06-04,83864.61
2011-06-05,87926.77
2011-06-06,73194.01
2011-06-07,69884.01
2011-06-08,66110.18000000001
2011-06-09,65696.39
2011-06-10,72494.85
2011-06-11,83435.11
2011-06-12,86431.01
2011-06-13,70323.43000000001
2011-06-14,65558.63
2011-06-15,68369.54
2011-06-16,63153.340000000004
2011-06-17,68183.1
2011-06-18,78640.21
2011-06-19,72743.74
2011-06-20,66329.62
2011-06-21,59042.87
2011-06-22,58576.47
2011-06-23,62726.2
2011-06-24,68432.25
2011-06-25,72973.85
2011-06-26,76969.61
2011-06-27,61850.2
2011-06-28,54030.14
2011-06-29,54228.71
2011-06-30,59678.8
2011-07-01,83279.14
2011-07-02,87247.64
2011-07-03,78344.13
2011-07-04,61556.41
2011-07-05,71985.46
2011-07-06,71421.36
2011-07-07,73863.17
2011-07-08,76535.0
2011-07-09,89246.19
2011-07-10,87867.05
2011-07-11,73525.45
2011-07-12,66957.16
2011-07-13,65690.6
2011-07-14,64561.94
2011-07-15,76060.29
2011-07-16,85917.32
2011-07-17,85712.2
2011-07-18,67367.16
2011-07-19,60059.46
2011-07-20,60644.92
2011-07-21,62603.67
2011-07-22,71243.91
2011-07-23,82427.33
2011-07-24,80838.83
2011-07-25,64020.7
2011-07-26,58175.43
2011-07-27,56267.14
2011-07-28,59268.67
2011-07-29,67905.78
2011-07-30,79986.49
2011-07-31,81274.76
2011-08-01,73525.54
2011-08-02,68720.21
2011-08-03,72542.61
2011-08-04,65402.19
2011-08-05,72391.25
2011-08-06,85240.38
2011-08-07,89645.57
2011-08-08,70679.95
2011-08-09,69836.45
2011-08-10,67594.77
2011-08-11,68169.62
2011-08-12,77636.1
2011-08-13,90852.17
2011-08-14,91933.16
2011-08-15,75415.6
2011-08-16,66646.01
2011-08-17,64269.520000000004
2011-08-18,61614.55
2011-08-19,70721.69
2011-08-20,86327.15
2011-08-21,94301.99
2011-08-22,69110.12
